Filename	Segment label	F1 (Hz)	F2 (Hz)
BB10	uw	308	1425
BB12	uw	332	1129
BB16	aa	552	1169
BB17	uw	363	1121
BB17	uw	445	1050
BB17	aa	520	1385
BB18	iy	325	1908
BB19	uw	326	1307
BB19	uw	310	1617
BB2	iy	339	1750
BB20	uw	327	1245
BB21	uw	354	1222
BB21	iy	328	1736
BB25	iy	375	2050
BB27	uw	393	1161
BB28	iy	318	1569
BB3	uw	353	1216
BB3	iy	358	2009
BB30	uw	325	1375
BB30	aa	638	1292
BB31	aa	577	1486
BB32	uw	291	1428
BB32	iy	290	1678
BB32	aa	527	1161
BB33	aa	554	1313
BB33	uw	438	945
BB34	uw	295	1475
BB37	aa	597	1412
BB37	uw	340	1303
BB39	iy	315	1858
BB4	aa	529	1334
BB40	iy	313	1716
BB40	uw	321	1515
BB41	aa	783	1971
BB42	uw	344	1433
BB42	uw	361	1329
BB43	uw	340	1222
BB45	aa	677	1228
BB47	uw	317	1499
BB49	uw	284	1364
BB5	uw	345	1408
BB5	uw	354	1498
BB53	aa	629	1223
BB54	aa	541	1700
BB54	uw	343	962
BB54	uw	359	1221
BB55	iy	308	1943
BB56	uw	313	1561
BB56	uw	377	1540
BB57	uw	368	1384
BB58	iy	309	1827
BB58	uw	359	1551
BB6	uw	341	1426
BB62	iy	269	1975
BB64	uw	404	1000
BB65	iy	310	1846
BB67	aa	594	1322
BB67	uw	294	1367
BB68	aa	486	1149
BB69	aa	574	1667
BB69	iy	302	1711
BB69	uw	357	1375
BB70	uw	341	1050
BB70	aa	485	1092
BB71	uw	314	1401
BB74	uw	435	1016
BB74	aa	627	1347
BB8	aa	602	1208
