Filename	Segment label	F1 (Hz)	F2 (Hz)
BK1	uw	798	1894
BK10	iy	283	897
BK10	aa	474	1444
BK11	uw	391	1231
BK11	iy	335	2115
BK12	iy	356	1378
BK13	aa	789	1357
BK14	aa	819	1556
BK15	uw	337	1404
BK16	uw	392	1560
BK16	iy	371	1757
BK16	uw	165	1399
BK17	uw	406	1446
BK2	uw	895	1351
BK20	aa	788	1117
BK20	uw	333	900
BK22	iy	390	1729
BK24	iy	328	1878
BK25	uw	371	1106
BK25	uw	1157	2403
BK26	aa	801	1385
BK27	iy	392	1740
BK30	aa	762	1302
BK30	uw	412	1412
BK31	uw	171	1899
BK33	aa	682	1214
BK33	uw	351	1451
BK36	uw	386	1398
BK36	uw	326	1458
BK37	uw	377	1274
BK38	uw	365	1263
BK39	uw	317	1331
BK42	aa	640	1232
BK43	aa	257	1187
BK43	uw	194	1065
BK45	uw	189	1272
BK47	aa	670	1365
BK47	iy	348	2151
BK48	iy	175	2147
BK48	uw	1311	2444
BK49	iy	344	1961
BK5	aa	435	1185
BK50	aa	651	1371
BK51	aa	438	1416
BK52	uw	289	1446
BK53	uw	358	1503
BK53	iy	347	1866
BK53	uw	365	1475
BK54	uw	301	1879
BK57	uw	361	1291
BK57	aa	953	2126
BK59	iy	354	1521
BK6	uw	353	1559
BK6	aa	641	1435
BK61	iy	276	816
BK62	uw	847	1714
BK62	uw	347	1339
BK63	aa	740	1465
BK64	iy	383	1963
BK67	uw	379	1359
BK67	aa	486	1640
BK68	uw	342	1416
BK70	uw	376	1184
BK70	aa	527	1131
BK73	uw	344	1438
BK73	uw	159	1571
BK74	uw	102	1497
BK8	uw	365	1787
