Filename	Segment label	F1 (Hz)	F2 (Hz)
JF11	iy	333	1870
JF11	uw	347	2121
JF16	aa	498	1212
JF17	uw	311	692
JF17	aa	507	1112
JF19	uw	180	1632
JF2	uw	371	1115
JF2	uw	258	1314
JF20	iy	347	1394
JF21	aa	450	1180
JF22	aa	517	1267
JF25	iy	215	779
JF26	uw	366	1037
JF26	uw	336	924
JF27	uw	415	961
JF27	uw	252	1031
JF28	aa	399	1138
JF28	iy	207	1818
JF28	aa	345	1010
JF29	uw	230	736
JF30	uw	277	1107
JF31	uw	345	660
JF34	uw	417	835
JF35	iy	318	1532
JF37	uw	351	1005
JF39	uw	395	755
JF39	uw	238	1014
JF4	aa	607	1331
JF4	aa	375	1132
JF41	aa	367	1152
JF41	aa	221	1822
JF43	uw	255	2268
JF43	uw	365	1764
JF44	aa	345	1186
JF45	uw	467	968
JF45	iy	224	1137
JF46	iy	318	991
JF46	uw	216	2072
JF48	uw	403	943
JF48	iy	297	1563
JF53	aa	465	1111
JF54	aa	604	1156
JF54	uw	189	1232
JF56	uw	408	2186
JF57	iy	336	1745
JF58	aa	500	1119
JF59	aa	426	1097
JF6	uw	402	1765
JF6	uw	384	1515
JF62	iy	364	1985
JF63	uw	367	1139
JF63	uw	318	1101
JF64	uw	393	1647
JF64	uw	295	881
JF65	aa	392	1205
JF65	iy	178	1673
JF65	aa	431	1585
JF66	uw	400	2179
JF67	uw	347	861
JF68	uw	279	1213
JF7	aa	440	1044
JF71	uw	202	1488
JF72	iy	193	1061
JF74	uw	288	1009
JF8	iy	367	2260
JF8	uw	486	1133
JF9	uw	372	844
JF9	iy	318	1936
